,Unnamed: 0,MAKE,MODEL,VARIANT,FUELCODE,TRANSMISSIONCODE,FUEL,TRANSMISSION,CC
0,0,ASTON MARTIN,DB9,COUPE (5935 cc),7,1,PETROL,AUTOMATIC,5935
1,1,ASTON MARTIN,DBS,COUPE 2 SEATER (5935 cc),7,1,PETROL,AUTOMATIC,5935
2,2,ASTON MARTIN,RAPIDE,6.0 RHD TOUCHTRONIC (5935 cc),7,1,PETROL,AUTOMATIC,5935
3,3,ASTON MARTIN,RAPIDE,6.0 RHD (5935 cc),7,1,PETROL,AUTOMATIC,5935
4,4,ASTON MARTIN,VANTAGE V8,COUPE (4735 cc),7,0,PETROL,MANUAL,4735
5,5,ASTON MARTIN,VANTAGE V8,S COUPE SPORTSHIFT (4735 cc),7,0,PETROL,MANUAL,4735
6,6,ASTON MARTIN,VIRAGE,6.0 V12 VOLANTE (5935 cc),7,0,PETROL,MANUAL,5935
7,7,AUDI,A3,35 TDI ATTRACTION 143 HP (1968 cc),4,1,DIESEL,AUTOMATIC,1968
8,8,AUDI,A3,35 TDI CABRIOLET (1968 cc),4,1,DIESEL,AUTOMATIC,1968
9,9,AUDI,A3,35 TDI LIMOUSINE (1968 cc),4,1,DIESEL,AUTOMATIC,1968
10,10,AUDI,A3,35 TDI PREMIUM 143 HP (1968 cc),4,1,DIESEL,AUTOMATIC,1968
11,11,AUDI,A3,35 TDI PREMIUM PLUS 143 HP (1968 cc),4,1,DIESEL,AUTOMATIC,1968
12,12,AUDI,A3,35 TDI PREMIUM PLUS WITH SUNROOF 143 HP (1968 cc),4,1,DIESEL,AUTOMATIC,1968
13,13,AUDI,A3,35 TDI PREMIUM WITH SUNROOF 143 HP (1968 cc),4,1,DIESEL,AUTOMATIC,1968
14,14,AUDI,A3,35 TDI TECHNOLOGY PACK 143 HP (1968 cc),4,1,DIESEL,AUTOMATIC,1968
15,15,AUDI,A3,35 TDI TECHNOLOGY PACK WITH SUNROOF 143 HP (1968 cc),4,1,DIESEL,AUTOMATIC,1968
16,16,AUDI,A3,35 TDI TECHNOLOGY WITH SUNROOF AND NAV 143 PS (1968 cc),4,1,DIESEL,AUTOMATIC,1968
17,17,AUDI,A3,40 TFSI CABRIOLET (1798 cc),7,1,PETROL,AUTOMATIC,1798
18,18,AUDI,A3,40 TFSI CABRIOLET FULL OPITIONS (1798 cc),7,1,PETROL,AUTOMATIC,1798
19,19,AUDI,A3,40 TFSI LIMOUSINE (1798 cc),7,1,PETROL,AUTOMATIC,1798
20,20,AUDI,A3,40 TFSI PREMIUM PLUS 180 HP (1798 cc),7,1,PETROL,AUTOMATIC,1798
21,21,AUDI,A3,40 TFSI PREMIUM PLUS WITH SUNROOF 180 HP (1798 cc),7,1,PETROL,AUTOMATIC,1798
22,22,AUDI,A3,40 TFSI WITH PANORAMIC GLASSROOF (1798 cc),7,1,PETROL,AUTOMATIC,1798
23,23,AUDI,A3,CONVERTIBLE 1.4 TFSI (1395 cc),7,1,PETROL,AUTOMATIC,1395
24,24,AUDI,A3,35 TFSI Premium Plus (1395 cc),7,1,PETROL,AUTOMATIC,1395
25,25,AUDI,A3,Cabriolet 35 TFSI (1395 cc),7,1,PETROL,AUTOMATIC,1395
26,26,AUDI,A3,35 TFSI Technology (1395 cc),7,1,PETROL,AUTOMATIC,1395
27,27,AUDI,A4,1.8 MULTITRONIC (1781 cc),7,1,PETROL,AUTOMATIC,1781
28,28,AUDI,A4,1.8 TFSI (1798 cc),7,1,PETROL,AUTOMATIC,1798
29,29,AUDI,A4,2.0 TDI (1968 cc),4,1,DIESEL,AUTOMATIC,1968
30,30,AUDI,A4,2.0 TFSI (1984 cc),7,1,PETROL,AUTOMATIC,1984
31,31,AUDI,A4,3.0 TDI QUATTRO (2967 cc),4,1,DIESEL,AUTOMATIC,2967
32,32,AUDI,A4,3.0 TDI QUATTRO UNIQUE (2967 cc),4,1,DIESEL,AUTOMATIC,2967
33,33,AUDI,A4,3.2 FSI QUATTRO (3197 cc),7,1,PETROL,AUTOMATIC,3197
34,34,AUDI,A4,40 TFSI Premium (1984 cc),7,1,PETROL,AUTOMATIC,1984
35,35,AUDI,A4,2.0 TDI BUSINESS EDITION (1968 cc),4,1,DIESEL,AUTOMATIC,1968
36,36,AUDI,A4,1.8 TFSI NAVI EDITION (1798 cc),7,1,PETROL,AUTOMATIC,1798
37,37,AUDI,A4,1.8 TFSI PREMIUM EDITION (1798 cc),7,1,PETROL,AUTOMATIC,1798
38,38,AUDI,A4,1.8 TFSI PREMIUM PLUS (1798 cc),7,1,PETROL,AUTOMATIC,1798
39,39,AUDI,A4,2.0 TDI NAVI EDITION (1968 cc),4,1,DIESEL,AUTOMATIC,1968
40,40,AUDI,A4,2.0 TDI PREMIUM EDITION (1968 cc),4,1,DIESEL,AUTOMATIC,1968
41,41,AUDI,A4,2.0 TDI PREMIUM PLUS (1968 cc),4,1,DIESEL,AUTOMATIC,1968
42,42,AUDI,A4,2.0 TDI WCI PACKAGE (1968 cc),4,1,DIESEL,AUTOMATIC,1968
43,43,AUDI,A4,3.0 TDI QUATTRO  WCI PACKAGE (3197 cc),4,1,DIESEL,AUTOMATIC,3197
44,44,AUDI,A4,3.2 FSI QUATTRO WCI PACKAGE (3197 cc),7,1,PETROL,AUTOMATIC,3197
45,45,AUDI,A4,2.0 TDI MULTITRONIC (1968 cc),4,1,DIESEL,AUTOMATIC,1968
46,46,AUDI,A4,35 TDI PREMIUM PLUS (1968 cc),4,1,DIESEL,AUTOMATIC,1968
47,47,AUDI,A4,30 TFSI Premium Plus (1395 cc),7,1,PETROL,AUTOMATIC,1395
